Canada	USA
4324.4	189049
8763.2	404493.1
14084.4	569793.1
16161.9	586649.4
15035.7	506170.9
14889	479135.9
15195.1	485404.9
14511.4	499255.4
13516.4	496293.6
12645.9	499769.7
12366.1	487469.3
12622	508088.3
13109.7	550543.8
12523.1	543046.5
12665.7	524941.3
11737.4	527240.4
11592.8	623402.9
12325.5	715710
11973.1	738695.6
11276.2	706246.2
11298.1	654512.9
11676.7	588882.6
11746.1	588035.6
11665.6	558825.1
12234.3	551528.1
13000.3	521239.2
13199.6	507060.3
13809.6	526196.6
14386.7	529525.2
13928.8	532564.3
14657.6	531335.4
14481.8	591834.6
15741.6	699941.1
17156.8	683520
18280.8	718935
18821.6	770711.6
19172.8	821654.9
19591.5	814913.2
19899	797866
19798.4	791125.5
19779.8	758217.3
18267.6	669786.5
18065.9	705819.7
18020.5	668046.7
17758.7	633319.1
16738	591579.8
15370.6	559401.2
14164.2	556507.3
14654	543941.3
15286.6	545279.8
15036.2	566381
15434.9	570981
15513.2	641102.5
15798.8	729680.6
16396.7	795293.5
17117.9	831923.9
17913.5	843911.7
19530.4	866430.5
21047.4	929457.8
22008.7	1002596.4
19878.4	1031257.1
20550.2	1019045.9
19541.3	962443.2
18063.6	888413.2
18358.3	833765
21092	814831.4
21371.8	812331
25816.4	803961.2
25697.2	828158.3
25427.5	875217.4
26296.5	916416.6
26131.6	906594.3
25598	896121.2
27227.7	916014.7
29065.9	968381.6
